date,open,high,low,close,volume
2014-03-21,47.7939,47.9884,47.0442,47.1769,44833335
2014-03-24,47.3321,47.9795,47.3164,47.8813,32919032
2014-03-25,47.9117,48.2065,47.4834,47.7703,30678142
2014-03-26,48.0149,48.1416,46.9598,46.9676,29009557
2014-03-27,46.9922,47.4745,46.277,46.9824,31416798
2014-03-28,47.2093,47.5079,46.7918,47.0757,18759741
2014-03-31,47.6956,47.8449,47.5148,47.6013,19396859
2014-04-01,47.786,48.0542,47.3321,47.5679,18602913
2014-04-02,47.6327,47.9471,47.4981,47.7221,17756935
2014-04-03,47.8547,47.9736,47.561,47.8607,15112897
2014-04-04,48.1446,48.176,47.1818,47.1906,21502099
2014-04-07,47.1042,47.338,46.4234,46.5501,23678635
2014-04-08,46.3378,46.5678,45.9596,46.4322,21489816
2014-04-09,46.6286,46.9057,46.1561,46.7623,19399928
2014-04-10,46.8281,46.8586,45.2748,45.2906,37984258
2014-04-11,43.5438,44.2236,43.0378,43.6312,59879591
2014-04-14,44.0645,44.1392,42.9868,43.362,39391308
2014-04-15,43.473,43.8975,42.8806,43.2363,33829425
2014-04-16,43.3945,43.6725,43.1518,43.5988,34284745
2014-04-17,43.6676,43.8444,43.4043,43.5684,22757247
2014-04-21,43.6067,43.7167,43.3886,43.4161,15695656
2014-04-22,43.4249,44.2462,43.3483,44.035,20613326
2014-04-23,44.0262,44.2796,43.8386,44.2236,14423066
2014-04-24,44.2384,44.3868,43.8758,44.3346,19477533
2014-04-25,44.43,44.4644,43.8975,43.9486,20200519
2014-04-28,43.8906,43.9486,43.142,43.7826,27111594
2014-04-29,43.9751,44.43,43.8444,44.264,17050947
2014-04-30,44.373,44.4644,43.9652,44.1696,18217701
2014-05-01,44.1214,44.3346,43.7914,43.9652,16152681
2014-05-02,44.0498,44.4781,43.7393,43.8523,19200355
2014-05-05,42.5122,43.1901,42.3698,42.7785,31982120
2014-05-06,42.6409,42.6517,42.0691,42.0869,32099172
2014-05-07,42.2725,42.7028,42.0053,42.6468,23451251
2014-05-08,42.7637,43.0251,42.6517,42.8895,20394327
2014-05-09,42.7785,42.8522,42.3531,42.6134,15671983
2014-05-12,42.8197,43.1577,42.6321,43.1174,16255510
2014-05-13,43.198,43.2608,43.0005,43.0958,15603133
2014-05-14,43.1115,43.1577,42.8433,42.8895,13098638
2014-05-15,42.7637,42.7637,42.0947,42.2214,25041269
2014-05-16,42.1537,42.2214,41.7941,42.0613,25339479
2014-05-19,41.8795,42.5368,41.8648,42.4729,15296382
2014-05-20,42.3845,42.6409,42.1379,42.3845,21402039
2014-05-21,42.6468,43.0811,42.5908,42.7028,16743124
2014-05-22,42.7402,43.0811,42.6223,43.0378,14957389
2014-05-23,43.0378,43.0722,42.7333,43.0251,13785776
2014-05-27,43.2284,43.7324,43.1518,43.5084,18380570
2014-05-28,43.4642,43.867,43.3945,43.7472,14416903
2014-05-29,43.9652,44.1214,43.702,43.9652,14881090
2014-05-30,43.8444,44.088,43.641,43.8444,15197582
2014-06-02,43.9063,43.9063,43.4112,43.6725,11964505
2014-06-03,43.473,43.9142,43.4642,43.867,11574441
2014-06-04,43.8051,43.9751,43.589,43.9309,12329338
2014-06-05,44.1126,44.704,43.7826,44.6834,21297187
2014-06-06,44.7856,45.0734,44.6972,44.9506,19517180
2014-06-09,44.9016,45.5028,44.8946,45.3034,15208779
2014-06-10,45.3426,45.715,45.2828,45.6806,14713614
2014-06-11,45.3524,45.5971,44.9576,45.1834,18037958
2014-06-12,45.0322,45.3034,44.8701,45.0028,14800760
2014-06-13,44.9938,45.5028,44.877,45.0028,15263155
2014-06-16,44.8544,44.936,44.4456,44.8701,14193999
2014-06-17,44.8082,45.435,44.7208,45.3034,14194630
2014-06-18,45.2002,45.6138,44.936,45.5872,17409546
2014-06-19,45.5194,45.5194,45.1402,45.208,14732667
2014-06-20,45.5194,45.5804,45.2494,45.4084,21704579
2014-06-23,45.4016,45.935,45.1638,45.9124,20290368
2014-06-24,45.6658,45.8574,45.208,45.3034,15618770
2014-06-25,45.1462,45.5568,44.8701,45.3957,18813231
2014-06-26,45.2404,45.3594,44.6569,45.2828,15024853
2014-06-27,45.2346,45.5254,45.1638,45.3957,12900581
2014-06-30,45.3171,45.5872,45.2748,45.4625,14638214
2014-07-01,45.4084,46.0756,45.3514,45.7396,18201179
2014-07-02,45.5578,45.6678,45.1442,45.265,24164646
2014-07-03,45.487,45.8034,45.2886,45.325,15858510
2014-07-07,45.2326,45.2808,44.8122,45.0282,17517448
2014-07-08,44.7708,44.8652,44.1972,44.3042,23089648
2014-07-09,44.3956,44.5872,44.1814,44.5046,13734189
2014-07-10,43.7432,44.3406,43.6696,44.145,15653036
2014-07-11,43.928,44.4221,43.8484,44.3346,12884397
2014-07-14,44.9152,45.1608,44.653,44.7228,17628688
2014-07-15,46.0432,46.6286,45.8918,46.2976,45581106
2014-07-16,46.4872,46.8605,46.326,46.6464,25819495
2014-07-17,46.5255,46.7632,45.8918,45.9694,21414959
2014-07-18,46.3438,46.4636,46.0028,46.2652,16115363
2014-07-21,46.1787,46.4086,46.0028,46.274,11513978
2014-07-22,46.4164,46.719,46.3752,46.6149,13060520
2014-07-23,46.6856,47.0266,46.4931,46.8752,13997935
2014-07-24,46.9332,47.1533,46.8664,47.0089,12390336
2014-07-25,46.8281,47.0934,46.7485,46.8821,13216310
2014-07-28,46.8281,47.0835,46.6149,47.0266,15586712
